antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02300438464772659,0.03675896450237252,0.020481710613250045,0.8903394255874674,24.221014863734876,1.0,0.01963609325458534,8.783840871323603,0.9812874524086909,0.5214067278287462,0.8861545860576008,0.7237644840355637
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03675896450237252,0.02300438464772659,0.020481710613250045,0.55718954248366,24.221014863734872,1.0,0.01963609325458534,2.2063517217549493,0.9952997256893288,0.5214067278287462,0.5467631066525548,0.7237644840355637
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.029611388071355636,0.02859030572406751,0.020481710613250045,0.691683569979716,24.19294066510986,1.0,0.01963511197537598,3.150690653144965,0.987919289856451,0.5429936305732486,0.6826092720331597,0.7040350623007824
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.02859030572406751,0.029611388071355636,0.020481710613250045,0.7163865546218487,24.19294066510986,1.0,0.01963511197537598,3.421518365022479,0.9868808537018996,0.5429936305732486,0.7077320963047264,0.7040350623007824
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.029611388071355636,0.03675896450237252,0.02426572166496486,0.8194726166328601,22.29313659202694,1.0,0.023177237701983922,5.3357059606778705,0.9842893177656463,0.5763195435092724,0.812583375588981,0.7398016677935542
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03675896450237252,0.029611388071355636,0.02426572166496486,0.6601307189542484,22.29313659202694,1.0,0.023177237701983922,2.855181877405434,0.9915930796172465,0.5763195435092724,0.6497596149956227,0.7398016677935542
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02426572166496486,0.04072316655654994,0.020481710613250045,0.8440594059405941,20.72676260988931,1.0,0.0194935335882728,6.151553027161175,0.975422530189754,0.46018893387314447,0.8374394245510582,0.6735046292239844
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.04072316655654994,0.02426572166496486,0.020481710613250045,0.5029498525073747,20.72676260988931,1.0,0.0194935335882728,1.9630499724366584,0.9921569721953887,0.46018893387314447,0.4905886176913069,0.6735046292239844
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04072316655654994,0.03675896450237252,0.02859030572406751,0.7020648967551623,19.099147820386758,1.0,0.027093364290191088,3.233056544888077,0.9878708731003516,0.5847665847665847,0.6906951715455943,0.7399213372664699
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03675896450237252,0.04072316655654994,0.02859030572406751,0.7777777777777777,19.099147820386754,1.0,0.027093364290191088,4.316745750495524,0.9838053073695651,0.5847665847665847,0.7683440124113844,0.7399213372664699
